date,time,lat,lng,alert
20-07-2021,09:04:34,21.12167,79.03,PCW
20-07-2021,09:07:52,21.11504,79.0405,HMW
20-07-2021,09:15:01,21.11132,79.06821,LDW
20-07-2021,09:15:15,21.11092,79.0695,HMW
20-07-2021,09:16:44,21.1097,79.07607,FCW
20-07-2021,09:24:19,21.10531,79.10249,PCW
20-07-2021,09:27:24,21.1065,79.11551,HMW
20-07-2021,09:29:32,21.10929,79.12489,HMW
20-07-2021,09:30:53,21.11374,79.13096,LDW
20-07-2021,09:33:17,21.12556,79.13908,HMW
20-07-2021,09:34:04,21.13122,79.14213,HMW
20-07-2021,10:20:25,21.14967,79.15743,PCW
20-07-2021,10:25:58,21.14652,79.14587,HMW
20-07-2021,10:27:36,21.13639,79.14421,HMW
20-07-2021,10:33:06,21.11747,79.13421,PCW
20-07-2021,10:40:09,21.1054,79.10844,HMW
20-07-2021,10:43:18,21.10526,79.0966,FCW
20-07-2021,10:44:11,21.1055,79.0925,HMW
20-07-2021,10:44:36,21.10572,79.09028,HMW
20-07-2021,10:47:24,21.10603,79.0868,HMW
20-07-2021,10:48:43,21.10672,79.08274,HMW
20-07-2021,10:51:16,21.1082,79.07887,HMW
20-07-2021,10:51:20,21.1082,79.07887,FCW
20-07-2021,10:51:49,21.10934,79.07661,HMW
20-07-2021,10:51:56,21.10963,79.0759,HMW
20-07-2021,10:58:36,21.1136,79.05864,HMW
20-07-2021,11:11:23,21.12097,79.02654,FCW
20-07-2021,11:11:58,21.12061,79.02438,FCW
20-07-2021,11:12:15,21.12029,79.02279,HMW
20-07-2021,11:12:17,21.12029,79.02279,FCW
20-07-2021,06:48:00,21.14906,79.11539,HMW
20-07-2021,07:02:38,21.14397,79.07836,PCW
20-07-2021,07:48:17,21.15345,79.12508,PCW
20-07-2021,08:50:27,21.14945,79.16119,PCW
20-07-2021,14:56:14,21.14881,79.12002,PCW
20-07-2021,15:50:30,21.11842,79.01922,PCW
20-07-2021,15:50:52,21.11765,79.01965,PCW
20-07-2021,06:50:29,21.15366,79.01094,HMW
20-07-2021,06:53:37,21.14957,79.03747,LDW
20-07-2021,06:56:19,21.14775,79.05326,HMW
20-07-2021,07:12:36,21.14314,79.08067,PCW
20-07-2021,07:29:15,21.14928,79.03916,LDW
20-07-2021,07:31:37,21.15314,79.01852,HMW
20-07-2021,07:31:52,21.15361,79.01588,LDW
